,station_id,city_name,country,iso2,iso3,latitude,longitude
70,95678,Adelaide,Australia,AU,AUS,-34.9349877739,138.600004841
71,94576,Brisbane,Australia,AU,AUS,-27.4550309054,153.035092732
72,94926,Canberra,Australia,AU,AUS,-35.2830285454,149.129026244
73,94120,Darwin,Australia,AU,AUS,-12.4253539847,130.850038614
74,94970,Hobart,Australia,AU,AUS,-42.8500085259,147.295029662
75,95866,Melbourne,Australia,AU,AUS,-37.8200313123,144.975016235
76,94614,Perth,Australia,AU,AUS,-31.9550146293,115.839998738
77,94767,Sydney,Australia,AU,AUS,-33.9200109672,151.185179809
78,D4704,Bregenz,Austria,AT,AUT,47.5166970658,9.76670158807
79,11240,Graz,Austria,AT,AUT,47.0777581981,15.4100048408
80,11120,Innsbruck,Austria,AT,AUT,47.2804073274,11.4099905992
81,11231,Klagenfurt,Austria,AT,AUT,46.6203442577,14.310020303
82,11012,Linz,Austria,AT,AUT,48.3192328075,14.2887812893
83,11150,Salzburg,Austria,AT,AUT,47.8104783316,13.040020303
84,11035,Vienna,Austria,AT,AUT,48.2000152782,16.3666389554
104,06447,Brussels,Belgium,BE,BEL,50.8333170767,4.3333166083
110,78016,Hamilton,Bermuda,BM,BMU,32.2941902863,-64.7839374203
125,83587,Belo Horizonte,Brazil,BR,BRA,-19.9150260225,-43.9150045182
126,82193,Belém,Brazil,BR,BRA,-1.45000323599,-48.4800230322
127,82798,João Pessoa,Brazil,BR,BRA,-7.10113512954,-34.8760711664
128,82098,Macapá,Brazil,BR,BRA,0.03300701792,-51.0500212012
129,82993,Maceió,Brazil,BR,BRA,-9.6199955049,-35.7299744075
130,83967,Porto Alegre,Brazil,BR,BRA,-30.0500146293,-51.2000120459
131,83746,Rio de Janeiro,Brazil,BR,BRA,-22.9250231742,-43.2250207942
132,86210,Salto del Guairá,Brazil,BR,BRA,-24.0899649874,-54.2699796973
133,83780,São Paulo,Brazil,BR,BRA,-23.558679587,-46.6250199804
134,82579,Teresina,Brazil,BR,BRA,-5.0950003877,-42.7800091975
156,71706,Charlottetown,Canada,CA,CAN,46.2492816356,-63.1313251156
157,71157,Edmonton,Canada,CA,CAN,53.5500246369,-113.499981935
158,71668,Fredericton,Canada,CA,CAN,45.949997578,-66.6333077409
159,71601,Halifax,Canada,CA,CAN,44.6500252473,-63.6000045183
160,71063,Ottawa,Canada,CA,CAN,45.4166967967,-75.7000153012
161,71578,Quebec City,Canada,CA,CAN,46.8399690949,-71.2456101905
